product_id,category_id,display_name,short_label,fni_bucket,counts_for_penetration,term_max_years,miles_max,key_limits,eligibility_notes,source_notes
VSC,MECH,"Vehicle Service Contract (VSC)",VSC,VSC,YES,10,120000,,"Four levels available; Platinum covers 1,500+ parts; includes Original Lessee/Owner option for existing Hyundai owners/lessees at lease maturity","Platinum: 1,500 parts; up to 10/120"
CPOW,MECH,"Certified Pre-Owned Wrap (CPOW)",CPO Wrap,VSC,YES,10,120000,,"Enhances Hyundai factory limited warranty on CPO vehicles with added mechanical repair/parts/labor protection","Up to 10/120 for CPO Wrap"
TPP,MECH,"Term Protection Plus",TPP,AFTERMARKET,YES,,,,"Covers everyday wear-related repairs (e.g., wheel alignments, battery replacement, brake pads, etc.) in addition to powertrain warranty","Wear items listed in your text; no term/miles specified"
MW_MY25_PRIOR,MAINT,"Maintenance Wrap (MY25 and Prior)",Maint Wrap,MAINTENANCE,NO,,,,"Built to enhance HCM and support maintenance during HCM period; also provides a solution after HCM period ends","MY25 and prior only"
PPM,MAINT,"Pre-Paid Maintenance",PPM,MAINTENANCE,NO,8,96000,,"Includes oil/filter changes, tire rotation, and scheduled items per owner’s manual; eligibility per owner’s manual","Up to 8/96"
EWU,DAMAGE,"Excess Wear and Use",EWU,AFTERMARKET,NO,,,,"Up to $5,000; single event limit $1,000","For vehicles leased through Hyundai Motor Finance","Waives normal wear charges; limits included"
TIRE_WHEEL,DAMAGE,"Tire and Wheel Protection","Tire & Wheel",AFTERMARKET,YES,,,,"Covers tire/wheel damage from road hazards","Hyundai-supported solution"
DENT_DING,DAMAGE,"Dent and Ding Protection","Dent & Ding",AFTERMARKET,YES,,,,"Paintless dent repair-style protection for common dents/dings (hail/shopping carts etc.)","From your text"
WS_REPAIR,DAMAGE,"Windshield Repair Protection",Windshield,AFTERMARKET,NO,,,,"Available as part of Platinum Vehicle Protection Package in most states; covers front windshield repair (chips/cracks) from debris","Bundled availability noted"
APPEARANCE,DAMAGE,"Appearance Protection",Appearance,AFTERMARKET,YES,,,,"Helps protect exterior/interior appearance; supports retained value","From your text"
GAP,LOSS,"Guaranteed Asset Protection (GAP)",GAP,GAP,YES,,,,"For financed vehicles: waives difference between insurance settlement and outstanding balance (terms/conditions apply)","From your text"
THEFT,LOSS,"Theft Protection",Theft,AFTERMARKET,YES,,,,"Deters theft and helps recover stolen vehicles","From your text"
KEY,LOSS,"Key Replacement Protection","Key Replacement",AFTERMARKET,YES,,,,"Up to $800 per incident","Covers all keys that are on the key ring","Limit included"
